,Education,Marital_Status,Income($),Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_Age,Postgraduate,no_of_children,Parent,family_size,custm_tot_purchase($),AggClusters
1292,Master,Married,43050.0,1,0,2014-03-18,10,30,5,24,6,3,8,2,2,0,4,5,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,41,Phd_or_Master,1,1,3,76,Cluster4
1293,PhD,Single,42997.0,1,1,2013-12-07,91,4,0,5,0,1,5,1,1,0,2,7,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,37,Phd_or_Master,2,1,3,15,Cluster2
1294,PhD,Single,48918.0,1,1,2014-04-12,21,52,0,9,0,0,1,2,1,0,4,4,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,51,Phd_or_Master,2,1,3,62,Cluster2
1295,Master,Married,60033.0,0,1,2014-03-29,28,62,1,57,19,11,48,2,2,1,5,2,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,60,Phd_or_Master,1,1,3,198,Cluster2
1296,PhD,Married,34043.0,1,0,2013-10-25,97,20,2,14,3,0,10,1,2,0,2,9,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,36,Phd_or_Master,1,1,3,49,Cluster4
1297,Graduation,Married,57811.0,0,1,2013-06-24,49,545,7,114,37,21,78,5,7,2,11,5,customer did not accept the offer in the 3rd campaign,customer accepted the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,48,Graduation_or_Basic,1,1,3,802,Cluster3
1298,Graduation,Married,78569.0,0,0,2014-02-19,14,558,79,622,207,175,95,1,4,6,4,1,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer accepted the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,1,68,Graduation_or_Basic,0,0,2,1736,Cluster1
1301,Graduation,Married,94384.0,0,0,2013-03-04,62,1111,24,790,160,45,172,0,5,8,5,2,customer did not accept the offer in the 3rd campaign,customer accepted the offer in the 4th campaign,customer accepted the offer in the 5th campaign,customer accepted the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,1,61,Graduation_or_Basic,0,0,2,2302,Cluster1
1302,Master,Married,23148.0,0,0,2014-02-18,83,4,6,8,6,3,10,1,2,0,3,7,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,29,Phd_or_Master,0,0,2,37,Cluster4
1303,Graduation,Divorced,44267.0,1,1,2013-02-25,48,183,5,65,3,5,49,5,5,2,4,9,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,44,Graduation_or_Basic,2,1,3,310,Cluster2
1304,Graduation,Married,71626.0,0,0,2012-11-01,94,546,72,376,94,145,72,1,5,5,8,3,customer did not accept the offer in the 3rd campaign,customer accepted the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,35,Graduation_or_Basic,0,0,2,1305,Cluster1
1305,Graduation,Married,60894.0,0,1,2013-06-28,61,606,7,155,10,0,54,5,10,3,8,7,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,48,Graduation_or_Basic,1,1,3,832,Cluster3
1306,Graduation,Married,50200.0,1,1,2013-04-03,70,266,6,51,8,6,64,6,7,1,5,8,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,38,Graduation_or_Basic,2,1,4,401,Cluster2
1307,PhD,Married,81051.0,0,0,2014-05-23,43,1142,29,249,38,29,14,1,5,5,12,2,customer did not accept the offer in the 3rd campaign,customer accepted the offer in the 4th campaign,customer accepted the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,49,Phd_or_Master,0,0,2,1501,Cluster1
1308,Graduation,Married,65169.0,0,0,2014-01-14,23,1074,0,69,0,0,46,1,10,4,13,6,customer accepted the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer accepted the offer in the 5th campaign,customer accepted the offer in the 1st campaign,customer accepted the offer in the 2nd campaign,customer did not complain in the last 2 years,1,32,Graduation_or_Basic,0,0,2,1189,Cluster1
1309,Graduation,Married,59868.0,0,1,2013-07-22,37,771,51,154,54,10,154,7,11,2,12,6,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,42,Graduation_or_Basic,1,1,3,1194,Cluster3
1310,PhD,Married,65695.0,0,1,2014-01-31,50,371,32,189,0,58,6,2,5,4,10,4,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,54,Phd_or_Master,1,1,3,656,Cluster3
1311,Master,Single,64857.0,0,0,2012-11-23,78,556,14,717,210,0,43,1,7,5,10,4,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,58,Phd_or_Master,0,0,1,1540,Cluster1
1312,Master,Married,45143.0,0,1,2013-08-26,74,202,5,74,11,5,14,3,6,1,5,7,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,49,Phd_or_Master,1,1,3,311,Cluster2
1313,Master,Married,74805.0,0,1,2013-11-06,14,209,162,209,41,162,37,5,4,7,10,2,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,59,Phd_or_Master,1,1,3,820,Cluster3
1314,Master,Married,59060.0,1,0,2014-01-11,77,35,40,111,36,40,12,3,3,1,7,4,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,25,Phd_or_Master,1,1,3,274,Cluster4
1315,PhD,Single,27238.0,1,1,2013-04-20,39,37,0,17,0,0,3,3,3,0,3,9,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,52,Phd_or_Master,2,1,3,57,Cluster2
1316,Graduation,Married,47009.0,0,1,2013-10-01,89,171,45,73,59,10,90,4,3,2,8,4,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,49,Graduation_or_Basic,1,1,3,448,Cluster3
1317,Master,Married,46094.0,1,1,2014-06-10,62,12,2,20,3,2,5,1,1,0,3,7,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,41,Phd_or_Master,2,1,4,44,Cluster2
1318,Graduation,Married,40321.0,1,1,2013-07-29,59,44,4,21,6,0,27,2,3,0,3,7,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,42,Graduation_or_Basic,2,1,4,102,Cluster2
1319,Graduation,Married,37235.0,1,0,2014-02-01,68,20,2,9,4,6,20,1,1,1,2,4,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,30,Graduation_or_Basic,1,1,3,61,Cluster4
1320,Master,Married,81843.0,0,0,2013-04-22,13,779,86,537,34,69,138,1,5,9,12,3,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,54,Phd_or_Master,0,0,2,1643,Cluster1
1321,Master,Married,46692.0,0,1,2013-06-06,37,170,6,97,24,12,88,3,6,1,5,6,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,56,Phd_or_Master,1,1,3,397,Cluster2
1322,Graduation,Married,77382.0,0,1,2014-01-07,36,491,48,231,112,105,134,2,5,7,12,1,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer accepted the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,46,Graduation_or_Basic,1,1,3,1121,Cluster3
1323,Graduation,Single,37774.0,2,0,2012-09-03,28,173,8,107,7,2,176,4,7,2,3,9,customer accepted the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer complained in the last 2 years,1,37,Graduation_or_Basic,2,1,3,473,Cluster2
1324,Basic,Married,18393.0,1,0,2014-03-29,2,7,10,13,16,0,4,2,3,0,3,8,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,40,Graduation_or_Basic,1,1,3,50,Cluster4
1325,Master,Married,72828.0,0,1,2013-02-14,17,1205,0,235,19,14,205,6,6,3,13,7,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,52,Phd_or_Master,1,1,3,1678,Cluster3
1326,Graduation,Married,24711.0,0,0,2014-04-18,86,10,7,25,6,3,7,1,3,0,3,7,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,32,Graduation_or_Basic,0,0,2,58,Cluster4
1327,PhD,Married,45503.0,1,0,2013-09-25,54,97,4,44,6,1,18,1,3,1,4,5,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,39,Phd_or_Master,1,1,3,170,Cluster4
1329,PhD,Married,71604.0,0,0,2013-11-17,3,345,53,528,98,75,97,1,8,3,5,4,customer accepted the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,1,69,Phd_or_Master,0,0,2,1196,Cluster1
1330,Graduation,Married,27244.0,1,0,2014-03-07,84,6,5,17,3,24,46,2,2,2,2,7,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,35,Graduation_or_Basic,1,1,3,101,Cluster4
1331,Graduation,Married,48752.0,1,1,2012-12-12,8,73,57,100,71,15,0,5,6,1,5,9,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,1,45,Graduation_or_Basic,2,1,4,316,Cluster2
1332,Graduation,Married,71434.0,0,1,2013-09-18,4,711,36,217,172,96,168,3,7,4,7,4,customer did not accept the offer in the 3rd campaign,customer accepted the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer accepted the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,52,Graduation_or_Basic,1,1,3,1400,Cluster3
1333,Graduation,Single,90842.0,0,0,2013-07-29,57,774,70,118,182,187,93,1,4,9,13,1,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,66,Graduation_or_Basic,0,0,1,1424,Cluster1
1334,Master,Married,88097.0,1,0,2012-08-18,24,163,0,480,0,126,75,1,6,5,8,9,customer did not accept the offer in the 3rd campaign,customer accepted the offer in the 4th campaign,customer accepted the offer in the 5th campaign,customer accepted the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,1,36,Phd_or_Master,1,1,3,844,Cluster3
1335,Graduation,Married,51948.0,0,1,2013-09-17,51,82,33,54,71,30,41,2,5,2,4,5,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,39,Graduation_or_Basic,1,1,3,311,Cluster2
1336,Graduation,Married,71853.0,0,0,2013-05-08,29,358,108,413,141,97,32,1,2,8,6,1,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,32,Graduation_or_Basic,0,0,2,1149,Cluster1
1337,Master,Married,35876.0,0,0,2014-04-20,13,66,2,40,4,3,14,1,3,1,3,6,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,31,Phd_or_Master,0,0,2,129,Cluster4
1338,Graduation,Widow,40049.0,0,1,2013-10-16,23,13,6,7,0,3,3,1,1,0,3,6,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,62,Graduation_or_Basic,1,1,2,32,Cluster4
1339,Graduation,Single,39660.0,1,0,2012-08-08,36,139,13,78,20,13,36,3,7,1,3,9,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,1,32,Graduation_or_Basic,1,1,2,299,Cluster4
1340,Graduation,Married,50127.0,0,1,2014-05-29,88,274,0,21,4,6,15,1,5,1,6,6,customer did not accept the offer in the 3rd campaign,customer accepted the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,52,Graduation_or_Basic,1,1,3,320,Cluster2
1341,Master,Married,43263.0,0,1,2012-11-21,2,262,6,61,0,10,102,3,5,2,6,5,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,37,Phd_or_Master,1,1,3,441,Cluster2
1342,Master,Married,62845.0,1,1,2012-10-01,3,1099,0,45,0,0,34,11,3,4,10,8,customer did not accept the offer in the 3rd campaign,customer accepted the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,1,65,Phd_or_Master,2,1,4,1178,Cluster3
1343,Graduation,Married,18929.0,0,0,2013-02-16,15,32,0,8,23,4,18,1,1,0,4,6,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,24,Graduation_or_Basic,0,0,2,85,Cluster4
1344,Basic,Single,24367.0,1,0,2013-03-20,58,2,4,2,0,11,5,1,1,0,2,9,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,32,Graduation_or_Basic,1,1,2,24,Cluster4
1345,Graduation,Single,33249.0,1,0,2013-02-20,11,6,10,21,19,14,42,2,2,1,3,6,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,39,Graduation_or_Basic,1,1,2,112,Cluster4
1346,Master,Married,26887.0,0,1,2013-02-10,27,6,7,4,3,4,6,1,1,0,3,6,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,55,Phd_or_Master,1,1,3,30,Cluster2
1347,PhD,Married,50150.0,0,0,2013-06-20,32,135,46,92,65,61,11,2,5,2,7,5,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,31,Phd_or_Master,0,0,2,410,Cluster1
1348,Graduation,Married,62061.0,0,1,2013-08-31,12,641,7,84,0,30,38,3,10,4,7,6,customer did not accept the offer in the 3rd campaign,customer accepted the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,38,Graduation_or_Basic,1,1,3,800,Cluster3
1349,PhD,Divorced,85696.0,0,0,2013-05-03,88,714,76,395,116,0,12,1,4,6,9,1,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,1,52,Phd_or_Master,0,0,1,1313,Cluster1
1350,PhD,Married,76542.0,0,0,2013-03-30,91,794,73,573,0,29,14,1,4,8,10,2,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,58,Phd_or_Master,0,0,2,1483,Cluster1
1351,Graduation,Single,70515.0,0,0,2013-10-21,12,420,0,452,182,64,140,1,6,6,4,2,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,1,21,Graduation_or_Basic,0,0,1,1258,Cluster1
1352,Graduation,Married,18227.0,1,0,2012-11-08,21,1,2,7,4,3,11,1,0,1,2,8,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,27,Graduation_or_Basic,1,1,3,28,Cluster4
1353,Graduation,Married,69139.0,0,1,2014-01-27,23,86,12,75,33,15,6,1,4,1,5,4,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,49,Graduation_or_Basic,1,1,3,227,Cluster2
1354,Graduation,Married,69109.0,0,0,2012-11-09,10,823,25,459,124,29,95,1,6,6,7,4,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer accepted the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,1,32,Graduation_or_Basic,0,0,2,1555,Cluster1
1355,Graduation,Single,69627.0,0,1,2013-03-17,35,231,161,215,171,30,53,2,8,2,11,5,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,52,Graduation_or_Basic,1,1,2,861,Cluster3
1356,Graduation,Married,38136.0,1,0,2013-04-22,69,8,15,27,0,20,33,2,3,1,2,8,customer accepted the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,36,Graduation_or_Basic,1,1,3,103,Cluster4
1357,PhD,Single,62159.0,0,0,2014-04-28,68,182,17,259,77,70,29,1,6,2,10,4,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,68,Phd_or_Master,0,0,1,634,Cluster1
1358,Graduation,Single,80695.0,0,0,2013-12-29,85,557,129,984,193,37,18,1,5,8,5,2,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,51,Graduation_or_Basic,0,0,1,1918,Cluster1
1359,Master,Single,33316.0,1,1,2013-10-04,34,79,1,31,4,4,12,3,2,1,4,6,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,43,Phd_or_Master,2,1,3,131,Cluster2
1360,Graduation,Married,58554.0,1,1,2012-09-26,55,368,24,68,38,0,88,6,8,2,6,7,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,46,Graduation_or_Basic,2,1,4,586,Cluster3
1361,Basic,Married,17256.0,1,0,2013-11-23,10,6,4,14,8,8,22,2,2,1,2,8,customer accepted the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,22,Graduation_or_Basic,1,1,3,62,Cluster4
1362,Graduation,Divorced,53034.0,1,1,2013-05-30,30,160,15,196,15,11,50,8,6,1,7,8,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,40,Graduation_or_Basic,2,1,3,447,Cluster2
1363,Master,Married,52203.0,0,0,2012-07-31,36,488,21,238,56,108,28,1,8,7,11,6,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,64,Phd_or_Master,0,0,2,939,Cluster1
1364,Master,Divorced,59601.0,0,1,2013-07-25,14,691,7,69,0,7,23,4,2,2,7,8,customer did not accept the offer in the 3rd campaign,customer accepted the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,37,Phd_or_Master,1,1,2,797,Cluster2
1365,Master,Single,75154.0,0,1,2012-09-04,79,543,10,205,160,143,82,1,6,3,6,3,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,1,56,Phd_or_Master,1,1,2,1143,Cluster3
1366,Graduation,Single,47025.0,0,1,2013-11-07,52,254,7,108,20,0,26,3,6,3,5,6,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,38,Graduation_or_Basic,1,1,2,415,Cluster2
1367,Graduation,Married,37971.0,1,0,2013-11-25,97,5,4,10,2,2,7,1,1,0,3,8,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,41,Graduation_or_Basic,1,1,3,30,Cluster4
1368,Master,Divorced,41335.0,1,0,2013-12-26,24,112,19,21,16,14,5,3,4,1,4,7,customer did not accept the offer in the 3rd campaign,customer did not accept the offer in the 4th campaign,customer did not accept the offer in the 5th campaign,customer did not accept the offer in the 1st campaign,customer did not accept the offer in the 2nd campaign,customer did not complain in the last 2 years,0,46,Phd_or_Master,1,1,2,187,Cluster4
